Timestamp,Track_ID,X_Min,Y_Min,X_Max,Y_Max
760.15,3,109.2,134.6,255.7,330.5
760.15,4,475.4,78.9,650.4,330.5
760.15,5,304.4,76.5,483.5,332.2
760.15,6,480.9,76.7,647.7,200.2
760.19,1,959.4,81.9,1181.9,330.9
760.19,2,307.6,74.3,478.1,198.5
760.19,3,109.2,134.6,255.7,330.5
760.19,4,475.4,78.9,650.4,330.5
760.19,5,304.4,76.5,483.5,332.2
760.19,6,480.9,76.7,647.7,200.2
760.22,1,959.4,81.9,1181.9,330.9
760.22,2,307.6,74.3,478.1,198.5
760.22,3,109.2,134.6,255.7,330.5
760.22,4,475.4,78.9,650.4,330.5
760.22,5,304.4,76.5,483.5,332.2
760.22,6,480.9,76.7,647.7,200.2
760.25,1,959.4,81.9,1181.9,330.9
760.25,2,307.6,74.3,478.1,198.5
760.25,3,109.2,134.6,255.7,330.5
760.25,4,475.4,78.9,650.4,330.5
760.25,5,304.4,76.5,483.5,332.2
760.25,6,480.9,76.7,647.7,200.2
760.29,1,959.4,81.9,1181.9,330.9
760.29,2,307.6,74.3,478.1,198.5
760.29,3,109.2,134.6,255.7,330.5
760.29,4,475.4,78.9,650.4,330.5
760.29,5,304.4,76.5,483.5,332.2
760.29,6,480.9,76.7,647.7,200.2
760.32,1,959.4,81.9,1181.9,330.9
760.32,2,307.6,74.3,478.1,198.5
760.32,3,109.2,134.6,255.7,330.5
760.32,4,475.4,78.9,650.4,330.5
760.32,5,304.4,76.5,483.5,332.2
760.32,6,480.9,76.7,647.7,200.2
760.35,1,959.4,81.9,1181.9,330.9
760.35,2,307.6,74.3,478.1,198.5
760.35,3,109.2,134.6,255.7,330.5
760.35,4,475.4,78.9,650.4,330.5
760.35,5,304.4,76.5,483.5,332.2
760.35,6,480.9,76.7,647.7,200.2
760.39,1,959.4,81.9,1181.9,330.9
760.39,2,307.6,74.3,478.1,198.5
760.39,3,109.2,134.6,255.7,330.5
760.39,4,475.4,78.9,650.4,330.5
760.39,5,304.4,76.5,483.5,332.2
760.39,6,480.9,76.7,647.7,200.2
760.42,1,959.4,81.9,1181.9,330.9
760.42,2,307.6,74.3,478.1,198.5
760.42,3,109.2,134.6,255.7,330.5
760.42,4,475.4,78.9,650.4,330.5
760.42,5,304.4,76.5,483.5,332.2
760.42,6,480.9,76.7,647.7,200.2
760.45,1,959.4,81.9,1181.9,330.9
760.45,2,307.6,74.3,478.1,198.5
760.45,3,109.2,134.6,255.7,330.5
760.45,4,475.4,78.9,650.4,330.5
760.45,5,304.4,76.5,483.5,332.2
760.45,6,480.9,76.7,647.7,200.2
760.49,1,959.4,81.9,1181.9,330.9
760.49,2,307.6,74.3,478.1,198.5
760.49,3,109.2,134.6,255.7,330.5
760.49,4,475.4,78.9,650.4,330.5
760.49,5,304.4,76.5,483.5,332.2
760.49,6,480.9,76.7,647.7,200.2
760.52,1,959.4,81.9,1181.9,330.9
760.52,2,307.6,74.3,478.1,198.5
760.52,3,109.2,134.6,255.7,330.5
760.52,4,475.4,78.9,650.4,330.5
760.52,5,304.4,76.5,483.5,332.2
760.52,6,480.9,76.7,647.7,200.2
760.55,1,959.4,81.9,1181.9,330.9
760.55,2,307.6,74.3,478.1,198.5
760.55,3,109.2,134.6,255.7,330.5
760.55,4,475.4,78.9,650.4,330.5
760.55,5,304.4,76.5,483.5,332.2
760.55,6,480.9,76.7,647.7,200.2
760.58,1,959.4,81.9,1181.9,330.9
760.58,2,307.6,74.3,478.1,198.5
760.58,3,109.2,134.6,255.7,330.5
760.58,4,475.4,78.9,650.4,330.5
760.58,5,304.4,76.5,483.5,332.2
760.58,6,480.9,76.7,647.7,200.2
760.62,1,959.4,81.9,1181.9,330.9
760.62,2,307.6,74.3,478.1,198.5
760.62,3,109.2,134.6,255.7,330.5
760.62,4,475.4,78.9,650.4,330.5
760.62,5,304.4,76.5,483.5,332.2
760.62,6,480.9,76.7,647.7,200.2
760.65,1,959.4,81.9,1181.9,330.9
760.65,2,307.6,74.3,478.1,198.5
760.65,3,109.2,134.6,255.7,330.5
760.65,4,475.4,78.9,650.4,330.5
760.65,5,304.4,76.5,483.5,332.2
760.65,6,480.9,76.7,647.7,200.2
760.68,1,959.4,81.9,1181.9,330.9
760.68,2,307.6,74.3,478.1,198.5
760.68,3,109.2,134.6,255.7,330.5
760.68,4,475.4,78.9,650.4,330.5
760.68,5,304.4,76.5,483.5,332.2
760.68,6,480.9,76.7,647.7,200.2
760.72,1,959.4,81.9,1181.9,330.9
760.72,2,307.6,74.3,478.1,198.5
760.72,3,109.2,134.6,255.7,330.5
760.72,4,475.4,78.9,650.4,330.5
760.72,5,304.4,76.5,483.5,332.2
760.72,6,480.9,76.7,647.7,200.2
760.75,1,959.4,81.9,1181.9,330.9
760.75,2,307.6,74.3,478.1,198.5
760.75,3,109.2,134.6,255.7,330.5
760.75,4,475.4,78.9,650.4,330.5
760.75,5,304.4,76.5,483.5,332.2
760.75,6,480.9,76.7,647.7,200.2
760.78,1,959.4,81.9,1181.9,330.9
760.78,2,307.6,74.3,478.1,198.5
760.78,3,109.2,134.6,255.7,330.5
760.78,4,475.4,78.9,650.4,330.5
760.78,5,304.4,76.5,483.5,332.2
760.78,6,480.9,76.7,647.7,200.2
760.82,1,959.4,81.9,1181.9,330.9
760.82,2,307.6,74.3,478.1,198.5
760.82,3,109.2,134.6,255.7,330.5
760.82,4,475.4,78.9,650.4,330.5
760.82,5,304.4,76.5,483.5,332.2
760.82,6,480.9,76.7,647.7,200.2
760.85,1,959.4,81.9,1181.9,330.9
760.85,2,307.6,74.3,478.1,198.5
760.85,3,109.2,134.6,255.7,330.5
760.85,4,475.4,78.9,650.4,330.5
760.85,5,304.4,76.5,483.5,332.2
760.85,6,480.9,76.7,647.7,200.2
760.88,1,959.4,81.9,1181.9,330.9
760.88,2,307.6,74.3,478.1,198.5
760.88,3,109.2,134.6,255.7,330.5
760.88,4,475.4,78.9,650.4,330.5
760.88,5,304.4,76.5,483.5,332.2
760.88,6,480.9,76.7,647.7,200.2
760.91,1,959.4,81.9,1181.9,330.9
760.91,2,307.6,74.3,478.1,198.5
760.91,3,109.2,134.6,255.7,330.5
760.91,4,475.4,78.9,650.4,330.5
760.91,5,304.4,76.5,483.5,332.2
760.91,6,480.9,76.7,647.7,200.2
760.95,1,959.4,81.9,1181.9,330.9
760.95,2,307.6,74.3,478.1,198.5
760.95,3,109.2,134.6,255.7,330.5
760.95,4,475.4,78.9,650.4,330.5
760.95,5,304.4,76.5,483.5,332.2
760.95,6,480.9,76.7,647.7,200.2
760.98,1,959.4,81.9,1181.9,330.9
760.98,2,307.6,74.3,478.1,198.5
760.98,3,109.2,134.6,255.7,330.5
760.98,4,475.4,78.9,650.4,330.5
760.98,5,304.4,76.5,483.5,332.2
760.98,6,480.9,76.7,647.7,200.2
761.01,1,959.4,81.9,1181.9,330.9
761.01,2,307.6,74.3,478.1,198.5
761.01,3,109.2,134.6,255.7,330.5
761.01,4,475.4,78.9,650.4,330.5
761.01,5,304.4,76.5,483.5,332.2
761.01,6,480.9,76.7,647.7,200.2
761.05,1,959.4,81.9,1181.9,330.9
761.05,2,307.6,74.3,478.1,198.5
761.05,3,109.2,134.6,255.7,330.5
761.05,4,475.4,78.9,650.4,330.5
761.05,5,304.4,76.5,483.5,332.2
