Timestamp,Object_ID,Centroid_X,Centroid_Y,Centroid_Z,Velocity_ms,Is_Static,Point_Count
139.75,5,11.018,4.632,1.036,0.0,1,473
139.75,6,nan,nan,nan,0.0,1,508
139.75,7,12.017,4.38,0.999,0.0,1,251
139.79,1,12.425,8.396,1.584,0.0,1,300
139.79,2,11.345,4.488,1.081,0.0,1,313
139.79,3,6.976,-4.374,0.459,0.0,1,453
139.79,4,12.191,8.286,0.322,0.0,1,464
139.79,5,11.018,4.632,1.036,0.0,1,473
139.79,6,nan,nan,nan,0.0,1,508
139.79,7,12.017,4.38,0.999,0.0,1,251
139.92,1,12.425,8.396,1.584,0.0,1,300
139.92,2,11.345,4.488,1.081,0.0,1,313
139.92,3,6.976,-4.374,0.459,0.0,1,453
139.92,4,12.191,8.286,0.322,0.0,1,464
139.92,5,11.018,4.632,1.036,0.0,1,472
139.92,6,nan,nan,nan,0.0,1,1
139.92,7,12.017,4.38,0.999,0.0,1,251
139.99,1,12.425,8.396,1.584,0.0,1,300
139.99,1,12.425,8.396,1.584,0.0,1,300
139.99,2,11.345,4.488,1.081,0.0,1,313
139.99,2,11.345,4.488,1.081,0.0,1,313
139.99,3,6.976,-4.374,0.459,0.0,1,453
139.99,4,12.191,8.286,0.322,0.0,1,464
139.99,3,6.976,-4.374,0.459,0.0,1,453
139.99,4,12.191,8.286,0.322,0.0,1,464
139.99,5,11.018,4.632,1.036,0.0,1,472
139.99,6,nan,nan,nan,0.0,1,1
139.99,7,12.017,4.38,0.999,0.0,1,251
139.99,5,11.018,4.632,1.036,0.0,1,473
139.99,6,nan,nan,nan,0.0,1,508
139.99,7,12.017,4.38,0.999,0.0,1,251
140.05,1,12.425,8.396,1.584,0.0,1,300
140.05,1,12.425,8.396,1.584,0.0,1,300
140.05,2,11.345,4.488,1.081,0.0,1,313
140.05,2,11.345,4.488,1.081,0.0,1,313
140.05,3,6.976,-4.374,0.459,0.0,1,453
140.05,3,6.976,-4.374,0.459,0.0,1,453
140.05,4,12.191,8.286,0.322,0.0,1,464
140.05,4,12.191,8.286,0.322,0.0,1,464
140.05,5,11.018,4.632,1.036,0.0,1,473
140.05,5,11.018,4.632,1.036,0.0,1,472
140.05,6,nan,nan,nan,0.0,1,1
